哦	o2，真不走运。	Oh, that's tough luck.
尊严	注重zun1yan2的人都会轻视那种行为。	All people with a sense of decency will look down upon such conduct as that.
旋转	那风筝在空中不断地xuan2zhuan3。	The kite circled round and round.
当前	电视观众来信表示对dang1qian2节目不满.	Letters from viewers express their dissatisfaction with current programmes.
顿时	喜讯传来，人们dun4shi2欢呼起来。	People broke into cheers at once when they heard the good news.
信念	他按照自己的xin4nian4行事。	He acted in accordance with his beliefs.
节奏	我喜欢jie2zou4快的音乐。	I like fast music.
探索	宇宙tan4suo3仍处于初级阶段	Space exploration is still in its infancy.
包装	铝箔用于bao1zhuang1食物。	Aluminum foil can be used for wrapping food.
场面	那chang3mian4使她反感。	She was revolted at the scene.
皇后	轮到huang2hou4时，她脸红了。	The Queen looked blushed in her turn.
嫌	改过不xian2迟。	It's never too late to mend.
制服	他穿着zhi4fu2十分精神。	He looks very manly in his uniform.
负担	超载的装载过多的或fu4dan1过重的	Loaded or burdened too heavily.
光荣	她是同行的guang1rong2.	She is an honour to her profession.
被告	bei4gao4被控偷窃。	The defendant is accused of theft.
创新	麻醉是一项伟大的医学chuang4xin1。	Anesthesia was a great innovation in medicine.
人质	他们相互交换了ren2zhi4.	They exchanged hostages with each other.
弥补	mi2bu3的用作修补物的或与之有关的	Serving as or relating to a prosthesis.
良心	你在liang2xin1上总不能认为那样的报酬算是合理的吧.	You cannot in all conscience regard that as fair pay.
喜悦	我内心充满xi3yue4。	My heart swam with joy.
宗教	他精通世界上的神秘zong1jiao4。	He is an expert on the world's mystical religions.
暴露	那时他没bao4lu4他的身份。	He didn't reveal his identity at that time.
足以	他跑得飞快，zu2yi3抓住那小偷。	He ran fast enough to catch the thief.
发财	许多人力求fa1cai2但都未成功。	Many a man has tried to get rich without success.
透露	她的秘密至今仍未tou4lu4。	Her secret remains untold by now.
古怪	新老板有点gu3guai4.	The new boss is a bit of an oddball.
卫星	月球是地球的wei4xing1.	The moon is the Earth's satellite.
设置	警方在广场的入口处she4zhi4了路障.	The police barricaded off the entrance to the square.
动员	学生们很快就dong4yuan2起来了。	The student mobilize quickly.
搓	把那绳子再cuo1几下.	Give the rope a few more twists.
人格	你竟敢诽谤我妻子的ren2ge2!	How dare you cast aspersions on my wife's character!
辩护	bian4hu4律师提出理由认为证据不充分.	The defence argue/argues that the evidence is weak.
捧	他用手把硬币peng3了起来.	He scooped the coins up in his hands.
压抑	他的童年是ya1yi4而孤独的。	His childhood was repressed and solitary.
奇妙	极好的某种东西出奇地好或qi2miao4的	Something exceptionally exciting or wonderful.
犬	【谚】吠quan3不咬人。	Barking dogs seldom bite.
染	这块布料ran3的不好。	This piece of cloth has bad coloration.
竞选	在明年的重选中她参加jing4xuan3。	She comes up for re-election next year.
试验	有些科学家用动物做shi4yan4。	Some scientists experiment on animals.
并非	他们bing4fei1同宗。	They are not of the same blood.
领先	该冠军ling3xian1十八秒.	The champion is leading by eighteen seconds.
混合	你不能把油和水hun4he2。	You can't mix oil with water.
跌	他推我，我die1了下来。	He pushed me and I fell over.
纯粹	那chun2cui4是捏造的!	That's pure fabrication!
精致	这本小册子做得很jing1zhi4。	This booklet is delicately made.
要命	她愁得yao4ming4。	She was frantic with worry.
协会	她加入了大学里的艺术xie2hui4。	She joined the university art society.
主管	有传闻说zhu3guan3已经辞职了.	There's a buzz going round that the boss has resigned.
骚扰	那只sao1rao3绵羊的狗被杀死了。	The dog that molested the sheep was killed.
童话	在这个tong2hua4中，主角是个丑陋顽皮的小妖精。	The hero in this fairy story is an ugly goblin.
维护	你一定要wei2hu4自己的权利.	You must stand up for your rights.
出卖	他不是chu1mai4我们的人。	He is not the man selling us.
鉴定	血缘jian4ding4血统的联系；来历	A line of descent; derivation.
荒谬	多麽huang1miu4的念头!	What a ridiculous idea!
神圣	我们应该尊重婚姻的shen2sheng4。	We should respect the sanctity of marriage.
保卫	这些勇敢的士兵会bao3wei4我们的国家的。	These gallant soldiers will protect our country.
当事人	该公司不是此协议的dang1shi4ren2。	The company is not a party to the agreement.
冲突	示威者与警察发生chong1tu1.	Demonstrators clashed with police.
支援	他们主动捐款zhi1yuan2此事.	They pitched in with contributions of money.
保守	她在衣著上很bao3shou3.	She is conservative in the way she dresses.
挫折	他是那种碰到cuo4zhe2就万分苦恼的人。	He's the sort of man whom setbacks weigh very heavily.
部位	前方直接在前面的地区、bu4wei4或位置	The area, location, or position directly before or ahead.
补偿	我的工作虽苦，但也有所bu3chang2。	My job is hard, but it has its compensation.
冒犯	如有mao4fan4之处，请多多原谅。	If I have offended you, I ask your pardon.
智能	zhi4neng2并不像品性那样有影响。	It is not intellect that tells so much as character.
流浪	那个liu2lang4乞丐乔装得同侦探一样。	The tramp was none other than a detective in disguise.
职位	他们俩都想得到这zhi2wei4。	They both try for the position.
固执	别这么gu4zhi2！	Don't be so obstinate!
倾听	我们坐着qing1ting1海浪的声音。	We sat listening to the sound of the waves.
终点	zhong1dian3已经在望。	The destination is in view.
呈现	庆祝活动cheng2xian4一派宏伟的景象。	The celebrations provided a magnificent spectacle.
无能为力	我wu2 neng2 wei2 li4。	There is nothing I can do.
侮辱	劫持者对人质百般wu3ru3.	The highjackers inflicted all kinds of indignities on their captives.
扑	那只狗正向他pu1过去。	The dog is rushing at him.
叼	大猫diao1著小猫的颈背.	The cat picked up the kitten by the scruff of its neck.
基因	反应素个体血液中的一种抗体，可以对诸如气喘病和光粉热这些变态反应产生预先的ji1yin1处理	An antibody found in the blood of individuals having a genetic predisposition to allergies such as asthma and hay fever.
福利	他在社会fu2li4部工作。	He worked in community welfare department.
走廊	这zou3lang2通到他的办公室。	The corridor opens into his office.
提议	你的这项ti2yi4不甚恰当.	This proposal of yours hardly meets the case.
虚伪	她强烈谴责政府xu1wei3.	She strongly denounced the Government's hypocrisy.
挥霍	他hui1huo4掉了大部分钱财, 濒于破产。	He dissipated most of his money and was on the brink of bankruptcy.
排除	自杀的可能性已被pai2chu2。	The possibility of suicide was ruled out.
模样	你能给我形容一下那个窃贼的mu2yang4吗?	Can you give me a description of the thief?
创业	他决定单干chuang4ye4.	He decided to go it alone and start his own business.
意志	他yi4zhi4坚强。	He has indomitable will.
典型	老虎是猫科动物的dian3xing2。	The tiger is a representative of the cat family.
城堡	cheng2bao3的墙很厚。	The castle walls are very thick.
居民	入侵者打败了土著ju1min2.	The invaders prevailed over the native population.
奴隶	这个nu2li4被鞭打死。	The slave was strapped to death.
掩饰	他的焦虑难以yan3shi4。	It proved difficult to disguise his anxiety.
腐败	fu3bai4与犯罪携手并行。	Corruption and crime go hand in hand.
隔离	这个病人应该ge2li2.	This patient should be separated from the others.
岗位	卫兵们奉令不得离开gang3wei4.	The guards were ordered not to leave their posts.
对抗	她真有胆量, 竟敢dui4kang4上司.	It was courageous of her to opposeher boss.
侄子	他的zhi2zi5是一个粗野的年轻人。	His nephew is an uncouth young man.
复活	还魂尸借还魂术fu4huo2的尸体	A corpse revived in this way.
排练	休息之後我们继续pai2lian4合唱节目.	We continued to rehearse/continued rehearsing the chorus after the break.
隐私	侵犯的就要侵入或侵犯，如yin3si1的	Tending to intrude or encroach, as upon privacy.
容忍	所有这些我不会rong2ren3的。	I will not put up with all this.
炫耀	她喜欢xuan4yao4她的精美衣服。	She likes to show off her fine clothes.
纯洁	她是一个chun2jie2的女孩。	She is a pure girl.
优先	胜者有选择奖品的you1xian1权.	The winner has first pick of the prizes.
典礼	dian3li3进行得很顺利.	The ceremony went off without a hitch.
空虚	我觉得我很kong1xu1。	I feel I am in emptiness.
丁	我送她一束ding1香花。	I gave her a bunch of lilac.
铜	tong2和金都是金属。	Copper and gold are both metals.
祖国	我们忠于zu3guo2。	We are loyal to our motherland.
团结	总统号召全国人民tuan2jie2起来。	The President made a call for national unity.
场合	葬礼是个忧郁的chang3he2。	A funeral is a sombre occasion.
嘴唇	她舔湿了zui3chun2.	She moistened her lips with her tongue.
品质	pin3zhi4低劣的；寒酸的	Of inferior quality; shabby.
授予	将军被shou4yu3最高权力。	The general was girded with the supreme power.
创作	这位作家叙述了chuang4zuo4的过程.	The writer described the creative process.
陷阱	xian4jing3捕捉或诱捕的方式；圈套	A means of catching or ensnaring; a trap.
演奏	他yan3zou4的曲调全错了.	He played the tune all wrong.
策划	ce4hua4一个推翻政府的阴谋	Brew a plot to overthrow the government.
顾问	请来了专家担当政府gu4wen4.	Experts were brought in to advise the Government.
偏偏	要找他时，他pian1pian1不在。	He must needs go away when he was wanted.
规划	董事长用两小时阐述了公司的gui1hua4.	The chairman expatiated for two hours on his plans for the company.
声明	研究总统sheng1ming2的含义.	Study the implications of the president's statement.
迹象	有ji4xiang4表明物价将上涨。	There are some indications that the prices will rise.
火箭	现在随时都有huo3jian4发射.	Space rockets are being sent up all the time.
真理	以下是人生而平等的zhen1li3。	What follows is the truth that men are created equal.
武装	政府为到访的元首派出了wu3zhuang1卫队.	The government provided an armed escort for the visiting head of State.
目光	她因喜悦而mu4guang1炯炯.	Her eyes lit up with joy.
跪	他面带恳求的神态gui4在皇帝面前。	He knelt in front of the emperor with a look of entreaty.
踏实	树苗四周的泥土要好好ta1shi5，使树苗牢牢地扎根。	The soil around the plants should be well trodden down, so that they are firmly rooted.
堕落	道德败坏的；duo4luo4的	Morally corrupt; perverted.
光芒	幸福的guang1mang2从她的眼中散发出来。	Happiness radiated from her eyes.
阴谋	我看穿了他的yin1mou2。	I saw through his plot.
无知	我认为wu2zhi1是一种罪。	I guess ignorance must be a sin.
预言	我们都相信她的yu4yan2。	We all believed in her prediction.
清除	必须qing1chu2官僚习气。	It is necessary to get rid of bureaucratic practices.
横	轮船heng2着停泊在港口里。	The ship was anchored athwart at the harbor mouth.
石油	这些shi2you2将被精炼。	The oil will be refined.
仓库	他已由cang1ku4调到会计室任职.	He has transferredfrom the warehouse to the accounts office.
大不了	没什么da4bu5liao3的。	Think nothing of it.
赌博	du3bo2把他毁了.	Gambling was his destruction.
边缘	圆盘的bian1yuan2已用机器磨平[光].	The edge of the disc had been machined flat/smooth.
公正	这项裁决并非对每人都gong1zheng4.	The ruling was not fair to everyone.
拽	活动住房用汽车拖zhuai4的住所	A trailer or dwelling place on wheels.
协助	工具用于xie2zhu4工作的器具	An implement used to facilitate work.
勉强	她测验mian3qiang3及格.	She only just scraped through the test.
